id,name,capital,population,area
1,北海道,札幌市,5139522,78420.76
2,青森県,青森市,1204372,9645.95
3,岩手県,盛岡市,1180512,15275.01
4,宮城県,仙台市,2279554,7282.29
5,秋田県,秋田市,929937,11637.52
6,山形県,山形市,1040971,9323.15
7,福島県,福島市,1789221,13784.14
8,茨城県,水戸市,2841084,6097.54
9,栃木県,宇都宮市,1908380,6408.09
10,群馬県,前橋市,1913236,6362.28
11,埼玉県,さいたま市,7337173,3797.75
12,千葉県,千葉市,6275278,5156.74
13,東京都,東京,14040732,2194.05
14,神奈川県,横浜市,9232794,2416.32
15,新潟県,新潟市,2152664,12583.96
16,富山県,富山市,1016323,4247.54
17,石川県,金沢市,1117827,4186.23
18,福井県,福井市,752976,4190.58
19,山梨県,甲府市,801620,4465.27
20,長野県,長野市,2020497,13561.56
21,岐阜県,岐阜市,1945350,10621.29
22,静岡県,静岡市,3582194,7777.02
23,愛知県,名古屋市,7497521,5173.24
24,三重県,津市,1742703,5774.48
25,滋賀県,大津市,1409388,4017.38
26,京都府,京都市,2550404,4612.2
27,大阪府,大阪市,8787414,1905.34
28,兵庫県,神戸市,5403823,8400.94
29,奈良県,奈良市,1305981,3690.94
30,和歌山県,和歌山市,903172,4724.69
31,鳥取県,鳥取市,543615,3507.13
32,島根県,松江市,657842,6707.86
33,岡山県,岡山市,1862012,7114.77
34,広島県,広島市,2759702,8479
35,山口県,山口市,1312950,6112.5
36,徳島県,徳島市,703745,4146.99
37,香川県,高松市,933758,1876.91
38,愛媛県,松山市,1306165,5675.98
39,高知県,高知市,675710,7102.91
40,福岡県,福岡市,5117967,4987.64
41,佐賀県,佐賀市,800511,2440.67
42,長崎県,長崎市,1282571,4130.99
43,熊本県,熊本市,1717766,7409.18
44,大分県,大分市,1106294,6340.7
45,宮崎県,宮崎市,1051771,7734.24
46,鹿児島県,鹿児島市,1562310,9186.33
47,沖縄県,那覇市,1468634,2282.15
